"","tract","year","count","population","crimerate"
"398","002502",2017,349,4826,72.3166183174472
"399","002502",2018,317,4826,65.6858682138417
"400","002502",2019,332,4826,68.7940323249068
"401","002600",2010,104,1816,57.2687224669604
"402","002600",2011,122,1816,67.1806167400881
"403","002600",2012,104,1816,57.2687224669604
"404","002600",2013,83,1816,45.704845814978
"405","002600",2014,119,1816,65.5286343612335
"406","002600",2015,83,1816,45.704845814978
"407","002600",2016,78,1816,42.9515418502203
"408","002600",2017,84,1816,46.2555066079295
"409","002600",2018,65,1816,35.7929515418502
"410","002600",2019,76,1816,41.8502202643172
"411","002701",2010,115,4623,24.8756218905473
"412","002701",2011,151,4623,32.6627730910664
"413","002701",2012,95,4623,20.5494267791477
"414","002701",2013,175,4623,37.8542072247458
"415","002701",2014,148,4623,32.0138438243565
"416","002701",2015,131,4623,28.3365779796669
"417","002701",2016,106,4623,22.9288340904175
"418","002701",2017,107,4623,23.1451438459875
"419","002701",2018,80,4623,17.3047804455981
"420","002701",2019,96,4623,20.7657365347177
"421","002702",2010,181,4578,39.5369156837047
"422","002702",2011,205,4578,44.779379641765
"423","002702",2012,149,4578,32.5469637396243
"424","002702",2013,153,4578,33.4207077326343
"425","002702",2014,231,4578,50.4587155963303
"426","002702",2015,183,4578,39.9737876802097
"427","002702",2016,150,4578,32.7653997378768
"428","002702",2017,161,4578,35.1681957186544
"429","002702",2018,143,4578,31.2363477501092
"430","002702",2019,158,4578,34.5128877238969
"431","002801",2010,131,3145,41.6534181240064
"432","002801",2011,138,3145,43.879173290938
"433","002801",2012,121,3145,38.4737678855326
"434","002801",2013,145,3145,46.1049284578696
"435","002801",2014,139,3145,44.1971383147854
"436","002801",2015,150,3145,47.6947535771065
"437","002801",2016,108,3145,34.3402225755167
"438","002801",2017,108,3145,34.3402225755167
"439","002801",2018,107,3145,34.0222575516693
"440","002801",2019,105,3145,33.3863275039746
"441","002802",2010,319,3568,89.4058295964125
"442","002802",2011,272,3568,76.2331838565022
"443","002802",2012,311,3568,87.1636771300448
"444","002802",2013,373,3568,104.540358744395
"445","002802",2014,371,3568,103.979820627803
"446","002802",2015,394,3568,110.42600896861
"447","002802",2016,325,3568,91.0874439461883
"448","002802",2017,310,3568,86.8834080717489
"449","002802",2018,298,3568,83.5201793721973
"450","002802",2019,339,3568,95.0112107623318
"451","002900",2010,247,3364,73.4244946492271
"452","002900",2011,269,3364,79.9643281807372
"453","002900",2012,282,3364,83.8287752675386
"454","002900",2013,371,3364,110.285374554102
"455","002900",2014,327,3364,97.205707491082
"456","002900",2015,325,3364,96.6111771700357
"457","002900",2016,316,3364,93.935790725327
"458","002900",2017,250,3364,74.3162901307967
